import time: self [us] | cumulative | imported package
import time:       338 |        338 |             numpy.random._philox
import time:       374 |        374 |             numpy.random._pcg64
import time:       302 |        302 |             numpy.random._sfc64
import time:       720 |        720 |             numpy.random._generator
import time:       546 |       9275 |           numpy.random._pickle
import time:       447 |       9722 |         numpy.random
import time:       447 |        447 |         numpy.ctypeslib
import time:      2031 |       2031 |           numpy.ma.core
import time:       900 |        900 |           numpy.ma.extras
import time:       349 |       3279 |         numpy.ma
import time:      2505 |      71198 |       numpy
import time:        46 |         46 |       atexit
import time:     13837 |      85080 |     torch._C
import time:       325 |        325 |             org
import time:        18 |        342 |           org.python
import time:        16 |        358 |         org.python.core
import time:       530 |        887 |       copy
import time:       500 |        500 |           torch.utils.throughput_benchmark
import time:       315 |        315 |           torch.utils._crash_handler
import time:       229 |        229 |           torch.utils.cpp_backtrace
import time:       240 |        240 |           torch.utils.backend_registration
import time:       331 |       1614 |         torch.utils
import time:       324 |       1938 |       torch.utils.hooks
import time:       247 |        247 |       torch._namedtensor_internals
import time:       996 |        996 |       torch.overrides
import time:       390 |        390 |       torch.utils.dlpack
import time:       648 |       5103 |     torch._tensor
import time:       372 |        372 |       torch.types
import time:       634 |       1005 |     torch.storage
import time:       262 |        262 |     torch.random
import time:        69 |         69 |           _heapq
import time:       469 |        537 |         heapq
import time:       955 |       1492 |       difflib
import time:       318 |        318 |         pwd
import time:       241 |        241 |         grp
import time:       960 |       1519 |       tarfile
import time:       463 |        463 |       torch._sources
import time:      1766 |       1766 |       typing_extensions
import time:       348 |        348 |       torch._weights_only_unpickler
import time:       703 |       6288 |     torch.serialization
import time:       323 |        323 |     torch._tensor_str
import time:       427 |        427 |       torch.amp.autocast_mode
import time:       314 |        740 |     torch.amp
import time:       348 |        348 |       torch.cuda._utils
import time:        44 |         44 |         gc
import time:       834 |        834 |           dataclasses
import time:      1282 |       2116 |         torch.utils._pytree
import time:       541 |       2700 |       torch.cuda.graphs
import time:       337 |        337 |       torch.cuda.streams
import time:        58 |         58 |                 _json
import time:       595 |        653 |               json.scanner
import time:       678 |       1331 |             json.decoder
import time:       580 |        580 |             json.encoder
import time:       563 |       2472 |           json
import time:       851 |       3323 |         torch.cuda._memory_viz
import time:       425 |       3747 |       torch.cuda.memory
import time:       349 |        349 |       torch.cuda.random
import time:       228 |        228 |       torch.cuda.sparse
import time:       295 |        295 |       torch.cuda.profiler
import time:       277 |        277 |       torch.cuda.nvtx
import time:       393 |        393 |         torch.cuda.amp.autocast_mode
import time:       393 |        393 |               importlib._abc
import time:       521 |        913 |             importlib.util
import time:       244 |       1157 |           torch.cuda.amp.common
import time:       487 |       1643 |         torch.cuda.amp.grad_scaler
import time:       307 |       2343 |       torch.cuda.amp
import time:       266 |        266 |       torch.cuda.jiterator
import time:      2096 |      12982 |     torch.cuda
import time:       393 |        393 |     torch.sparse
import time:       352 |        352 |         torch.backends
import time:       303 |        303 |         opt_einsum
import time:       492 |       1146 |       torch.backends.opt_einsum
import time:       362 |        362 |               torch.nn.parameter
import time:      1484 |       1846 |             torch.nn.modules.module
import time:       274 |        274 |                 torch._VF
import time:      1511 |       1511 |                 torch._torch_docs
import time:        64 |         64 |                             _string
import time:      1083 |       1147 |                           string
import time:      1797 |       2943 |                         logging
import time:       455 |        455 |                             torch.autograd.variable
import time:       371 |        371 |                               torch._functorch
import time:       400 |        400 |                                         torch.utils._contextlib
import time:       380 |        779 |                                       torch.autograd.grad_mode
import time:       407 |       1186 |                                     torch.autograd.forward_ad
import time:       498 |       1683 |                                   torch._functorch.pyfunctorch
import time:       479 |       2162 |                                 torch._ops
import time:       354 |        354 |                                 torch._functorch.utils
import time:       252 |        252 |                                   torch._functorch.pytree_hacks
import time:       525 |        777 |                                 torch._functorch.vmap
import time:       816 |       4107 |                               torch._functorch.autograd_function
import time:       567 |       5043 |                             torch.autograd.function
import time:        84 |         84 |                                   cmath
import time:      1778 |       1861 |                                 torch.testing._comparison
import time:       420 |        420 |                                 torch.testing._creation
import time:       411 |       2691 |                               torch.testing
import time:       353 |        353 |                               torch._vmap_internals
import time:       860 |       3903 |                             torch.autograd.gradcheck
import time:       290 |        290 |                             torch.autograd.anomaly_mode
import time:       357 |        357 |                             torch.autograd.functional
import time:       288 |        288 |                               torch.utils._python_dispatch
import time:       650 |        938 |                             torch.autograd.graph
import time:       645 |        645 |                               torch.autograd.profiler_util
import time:       430 |        430 |                               torch.futures
import time:       509 |       1583 |                             torch.autograd.profiler
import time:      1105 |      13671 |                           torch.autograd
import time:        17 |      13687 |                         torch.autograd.profiler
import time:       261 |        261 |                         torch.distributed.constants
import time:       260 |        260 |                           torch.distributed.logging_handlers
import time:       258 |        517 |                         torch.distributed.c10d_error_logger
import time:       312 |        312 |                         torch.distributed.rendezvous
import time:      1245 |      18965 |                       torch.distributed.distributed_c10d
import time:       293 |        293 |                       torch.distributed.remote_device
import time:      1848 |      21104 |                     torch.distributed
import time:       347 |      21451 |                   torch.distributed.rpc
import time:      1011 |       1011 |                               pickletools
import time:       315 |        315 |                               torch.package._digraph
import time:       299 |        299 |                               torch.package._importlib
import time:       291 |        291 |                               torch.package._mangling
import time:       412 |        412 |                                 torch.package.importer
import time:       296 |        708 |                               torch.package._package_pickler
import time:       333 |        333 |                               torch.package._stdlib
import time:       319 |        319 |                               torch.package.find_file_dependencies
import time:       312 |        312 |                               torch.package.glob_group
import time:      1057 |       4641 |                             torch.package.package_exporter
import time:       368 |       5008 |                           torch.package.analyze.find_first_use_of_broken_modules
import time:       294 |        294 |                           torch.package.analyze.trace_dependencies
import time:       429 |       5730 |                         torch.package.analyze
import time:       309 |       6039 |                       torch.package.analyze.is_from_package
import time:       343 |        343 |                       torch.package.file_structure_representation
import time:       285 |        285 |                         torch.package._directory_reader
import time:       262 |        262 |                         torch.package._package_unpickler
import time:       562 |       1108 |                       torch.package.package_importer
import time:       300 |       7788 |                     torch.package
import time:        17 |       7804 |                   torch.package._mangling
import time:       361 |        361 |                   torch._awaits
import time:       571 |      30185 |                 torch._jit_internal
import time:       249 |        249 |                 torch.nn._reduction
import time:       260 |        260 |                   torch.nn.modules.utils
import time:       296 |        555 |                 torch.nn.grad
import time:      7593 |      40365 |               torch.nn.functional
import time:       384 |        384 |               torch.nn.init
import time:       387 |        387 |               torch.nn.modules.lazy
import time:       401 |      41535 |             torch.nn.modules.linear
import time:       836 |        836 |               torch.nn.common_types
import time:       817 |       1653 |             torch.nn.modules.conv
import time:       682 |        682 |             torch.nn.modules.activation
import time:       270 |        270 |               torch.nn.modules.distance
import time:       815 |       1084 |             torch.nn.modules.loss
import time:       791 |        791 |             torch.nn.modules.container
import time:       772 |        772 |             torch.nn.modules.pooling
