import time: self [us] | cumulative | imported package
import time:       480 |        480 |                             sympy.polys.polyerrors
import time:      1252 |       1731 |                           sympy.polys.polyoptions
import time:       262 |        262 |                                 sympy.polys.domains.domainelement
import time:       318 |        318 |                                 sympy.polys.orderings
import time:       375 |        375 |                                   sympy.polys.domains.modularinteger
import time:       408 |        782 |                                 sympy.polys.polyutils
import time:       594 |       1955 |                               sympy.polys.domains.domain
import time:       344 |        344 |                                   sympy.polys.domains.ring
import time:       280 |        624 |                                 sympy.polys.domains.field
import time:       348 |        348 |                                 sympy.polys.domains.simpledomain
import time:       357 |        357 |                                   sympy.polys.polyconfig
import time:       526 |        883 |                                 sympy.polys.galoistools
import time:       269 |        269 |                                   sympy.polys.domains.pythonrational
import time:       341 |        609 |                                 sympy.polys.domains.groundtypes
import time:       335 |       2797 |                               sympy.polys.domains.finitefield
import time:       269 |        269 |                                 sympy.polys.domains.characteristiczero
import time:       352 |        621 |                               sympy.polys.domains.integerring
import time:       331 |        331 |                               sympy.polys.domains.rationalfield
import time:       402 |        402 |                                     sympy.polys.monomials
import time:       426 |        828 |                                   sympy.polys.densebasic
import time:       388 |        388 |                                   sympy.polys.densearith
import time:       352 |        352 |                                   sympy.polys.densetools
import time:       356 |        356 |                                   sympy.polys.euclidtools
import time:       315 |        315 |                                   sympy.polys.sqfreetools
import time:       472 |        472 |                                   sympy.polys.factortools
import time:       623 |        623 |                                   sympy.polys.rootisolation
import time:      1511 |       4842 |                                 sympy.polys.polyclasses
import time:       389 |       5231 |                               sympy.polys.domains.algebraicfield
import time:       683 |        683 |                               sympy.polys.domains.gaussiandomains
import time:      1027 |       1027 |                               sympy.polys.domains.realfield
import time:      1007 |       1007 |                               sympy.polys.domains.complexfield
import time:       477 |        477 |                                 sympy.polys.domains.compositedomain
import time:       454 |        931 |                               sympy.polys.domains.polynomialring
import time:       357 |        357 |                               sympy.polys.domains.fractionfield
import time:       496 |        496 |                               sympy.polys.domains.expressiondomain
import time:       379 |        379 |                               sympy.polys.domains.expressionrawdomain
import time:       351 |        351 |                                 sympy.polys.domains.pythonintegerring
import time:       316 |        667 |                               sympy.polys.domains.pythonfinitefield
import time:       383 |        383 |                                 sympy.polys.domains.gmpyintegerring
import time:       307 |        690 |                               sympy.polys.domains.gmpyfinitefield
import time:       368 |        368 |                               sympy.polys.domains.pythonrationalfield
import time:       362 |        362 |                               sympy.polys.domains.gmpyrationalfield
import time:       513 |      18409 |                             sympy.polys.domains
import time:       315 |      18723 |                           sympy.polys.constructor
import time:       409 |        409 |                           sympy.polys.fglmtools
import time:       478 |        478 |                           sympy.polys.groebnertools
import time:       318 |        318 |                           sympy.polys.rationaltools
import time:      1502 |      23159 |                         sympy.polys.polytools
import time:        90 |         90 |                                 array
import time:       380 |        380 |                                 sympy.ntheory.primetest
import time:       687 |       1156 |                               sympy.ntheory.generate
import time:       308 |        308 |                                 sympy.ntheory.digits
import time:       329 |        329 |                                 sympy.ntheory.ecm
import time:       717 |       1353 |                               sympy.ntheory.factor_
import time:       263 |        263 |                                   sympy.ntheory.modular
import time:       332 |        332 |                                   sympy.utilities.memoization
import time:       473 |       1067 |                                 sympy.ntheory.residue_ntheory
import time:       335 |       1401 |                               sympy.ntheory.partitions_
import time:       263 |        263 |                               sympy.ntheory.multinomial
import time:       370 |        370 |                               sympy.ntheory.continued_fraction
import time:       339 |        339 |                               sympy.ntheory.egyptian_fraction
import time:       437 |        437 |                               sympy.ntheory.qs
import time:       536 |       5854 |                             sympy.ntheory
import time:       882 |        882 |                               sympy.polys.compatibility
import time:       317 |        317 |                               sympy.polys.heuristicgcd
import time:       518 |        518 |                                       sympy.printing.conventions
import time:       420 |        420 |                                       sympy.printing.precedence
import time:       415 |        415 |                                       sympy.printing.printer
import time:       783 |        783 |                                       sympy.printing.str
import time:       303 |        303 |                                           sympy.core.alphabets
import time:      1066 |       1369 |                                         sympy.printing.pretty.pretty_symbology
import time:       465 |       1833 |                                       sympy.printing.pretty.stringpict
import time:      1721 |       5688 |                                     sympy.printing.pretty.pretty
import time:       482 |       6170 |                                   sympy.printing.pretty
import time:     17816 |      17816 |                                   sympy.printing.latex
import time:      1553 |       1553 |                                   sympy.printing.mathml
import time:       445 |        445 |                                     sympy.printing.repr
import time:       327 |        771 |                                   sympy.printing.python
import time:       493 |        493 |                                               sympy.functions.combinatorial
import time:      1328 |       1820 |                                             sympy.functions.combinatorial.factorials
import time:       347 |        347 |                                                 sympy.functions.elementary
import time:       922 |        922 |                                                   sympy.functions.elementary.miscellaneous
import time:       628 |        628 |                                                   sympy.functions.elementary.piecewise
import time:      1424 |       2973 |                                                 sympy.functions.elementary.complexes
import time:      1240 |       4558 |                                               sympy.functions.elementary.exponential
import time:       347 |        347 |                                               sympy.polys.appellseqs
import time:      3368 |       8272 |                                             sympy.functions.combinatorial.numbers
import time:      1102 |       1102 |                                               sympy.functions.elementary.integers
import time:       348 |        348 |                                               sympy.functions.elementary._trigonometric_special
import time:      2280 |       3729 |                                             sympy.functions.elementary.trigonometric
import time:      1897 |       1897 |                                             sympy.functions.elementary.hyperbolic
import time:       314 |        314 |                                               sympy.functions.special
import time:      2597 |       2597 |                                               sympy.functions.special.hyper
import time:      3058 |       5968 |                                             sympy.functions.special.error_functions
import time:      1094 |       1094 |                                               sympy.functions.special.zeta_functions
import time:      1470 |       2563 |                                             sympy.functions.special.gamma_functions
import time:      1022 |       1022 |                                             sympy.functions.special.tensor_functions
import time:       480 |        480 |                                                   sympy.polys.polyquinticconst
import time:       470 |        949 |                                                 sympy.polys.polyroots
import time:       676 |       1625 |                                               sympy.functions.special.delta_functions
import time:       553 |       2178 |                                             sympy.functions.special.singularity_functions
import time:      1534 |       1534 |                                                   sympy.sets.sets
import time:      1118 |       1118 |                                                   sympy.sets.fancysets
import time:       345 |        345 |                                                   sympy.sets.contains
import time:       383 |        383 |                                                   sympy.sets.conditionset
import time:       481 |        481 |                                                   sympy.sets.ordinals
import time:       380 |        380 |                                                   sympy.sets.powerset
import time:       356 |        356 |                                                     sympy.sets.handlers
import time:      1942 |       2297 |                                                   sympy.sets.handlers.comparison
import time:       429 |       6964 |                                                 sympy.sets
import time:        23 |       6987 |                                               sympy.sets.sets
import time:       299 |       7285 |                                             sympy.functions.special.bsplines
import time:       393 |        393 |                                               sympy.polys.orthopolys
import time:      2406 |       2798 |                                             sympy.functions.special.bessel
import time:      1499 |       1499 |                                             sympy.functions.special.polynomials
import time:       500 |        500 |                                             sympy.functions.special.spherical_harmonics
import time:       741 |        741 |                                             sympy.functions.special.elliptic_integrals
import time:       611 |        611 |                                             sympy.functions.special.beta_functions
import time:       702 |        702 |                                             sympy.functions.special.mathieu_functions
import time:       636 |      42217 |                                           sympy.functions
import time:        16 |      42232 |                                         sympy.functions.elementary
import time:        19 |      42251 |                                       sympy.functions.elementary.complexes
import time:       536 |      42786 |                                     sympy.printing.codeprinter
import time:       666 |      43452 |                                   sympy.printing.pycode
import time:       669 |        669 |                                     sympy.assumptions.relation.equality
import time:       513 |       1182 |                                   sympy.printing.smtlib
import time:       395 |        395 |                                   sympy.printing.glsl
import time:       367 |        367 |                                   sympy.printing.rcode
import time:       387 |        387 |                                   sympy.printing.jscode
import time:       427 |        427 |                                   sympy.printing.julia
import time:       398 |        398 |                                   sympy.printing.mathematica
import time:       407 |        407 |                                   sympy.printing.octave
import time:       328 |        328 |                                     sympy.utilities.mathml
import time:       275 |        603 |                                   sympy.printing.gtk
import time:       308 |        308 |                                   sympy.printing.preview
import time:       246 |        246 |                                   sympy.printing.tree
import time:       295 |        295 |                                   sympy.printing.tableform
import time:       291 |        291 |                                   sympy.printing.dot
import time:       342 |        342 |                                   sympy.printing.maple
import time:       564 |      75966 |                                 sympy.printing
import time:       277 |      76242 |                               sympy.printing.defaults
import time:       213 |        213 |                               sympy.utilities.magic
import time:       886 |      78539 |                             sympy.polys.rings
import time:       464 |      84856 |                           sympy.polys.specialpolys
import time:       601 |      85456 |                         sympy.polys.polyfuncs
import time:       889 |        889 |                               sympy.polys.puiseux
import time:       398 |       1286 |                             sympy.polys.ring_series
import time:      1334 |       1334 |                             sympy.polys.rootoftools
import time:       551 |       3171 |                           sympy.polys.numberfields.minpoly
import time:       329 |        329 |                           sympy.polys.numberfields.subfield
import time:       395 |        395 |                                   sympy.polys.matrices.exceptions
import time:       303 |        303 |                                   sympy.polys.matrices.domainscalar
import time:       314 |        314 |                                       sympy.polys.matrices._typing
import time:       391 |        705 |                                     sympy.polys.matrices.dense
import time:       285 |        285 |                                     sympy.polys.matrices.lll
import time:       528 |        528 |                                     sympy.polys.matrices.sdm
import time:       286 |        286 |                                     sympy.polys.matrices.dfm
import time:       606 |       2407 |                                   sympy.polys.matrices.ddm
import time:       307 |        307 |                                   sympy.polys.matrices.rref
import time:       888 |       4298 |                                 sympy.polys.matrices.domainmatrix
import time:       302 |       4600 |                               sympy.polys.matrices
import time:        22 |       4622 |                             sympy.polys.matrices.exceptions
import time:       588 |        588 |                               sympy.printing.numpy
import time:       383 |        970 |                             sympy.printing.lambdarepr
import time:       383 |       5974 |                           sympy.polys.numberfields.utilities
import time:       311 |        311 |                               sympy.polys.matrices.normalforms
import time:       270 |        270 |                               sympy.polys.numberfields.exceptions
import time:       641 |       1221 |                             sympy.polys.numberfields.modules
import time:       306 |       1526 |                           sympy.polys.numberfields.basis
import time:       386 |        386 |                           sympy.polys.numberfields.primes
import time:       373 |        373 |                             sympy.polys.numberfields.galois_resolvents
import time:       357 |        730 |                           sympy.polys.numberfields.galoisgroups
import time:       340 |      12454 |                         sympy.polys.numberfields
import time:       416 |        416 |                             sympy.matrices.exceptions
import time:       328 |        328 |                             sympy.matrices.kind
import time:       343 |        343 |                                 sympy.matrices.utilities
import time:       358 |        358 |                                 sympy.matrices.determinant
import time:       445 |       1146 |                               sympy.matrices.decompositions
import time:       850 |        850 |                                     sympy.tensor.indexed
import time:       384 |        384 |                                     sympy.tensor.index_methods
import time:       447 |        447 |                                     sympy.tensor.functions
import time:       440 |        440 |                                           sympy.tensor.array.ndim_array
import time:       268 |        708 |                                         sympy.tensor.array.mutable_ndim_array
import time:       570 |       1278 |                                       sympy.tensor.array.dense_ndim_array
import time:       516 |        516 |                                       sympy.tensor.array.sparse_ndim_array
import time:       474 |        474 |                                       sympy.tensor.array.arrayop
import time:       514 |        514 |                                       sympy.tensor.array.array_comprehension
import time:       361 |       3140 |                                     sympy.tensor.array
import time:       368 |       5188 |                                   sympy.tensor
import time:        36 |       5224 |                                 sympy.tensor.array
import time:       415 |        415 |                                 sympy.matrices.reductions
import time:       454 |        454 |                                               sympy.polys.agca.ideals
import time:       631 |       1085 |                                             sympy.polys.agca.modules
import time:       605 |       1690 |                                           sympy.polys.agca.homomorphisms
import time:       309 |       1999 |                                         sympy.polys.agca
import time:       602 |       2600 |                                       sympy.polys.agca.extensions
import time:       373 |       2973 |                                     sympy.polys.matrices.eigen
import time:       508 |       3480 |                                   sympy.matrices.eigen
import time:       453 |       3933 |                                 sympy.matrices.solvers
import time:       355 |        355 |                                 sympy.matrices.inverse
import time:       295 |        295 |                                 sympy.matrices.subspaces
import time:       270 |        270 |                                 sympy.matrices.graph
import time:      1595 |      12084 |                               sympy.matrices.matrixbase
import time:       528 |        528 |                               sympy.matrices.repmatrix
import time:       462 |      14217 |                             sympy.matrices.dense
import time:       343 |        343 |                             sympy.matrices.sparse
import time:       268 |        268 |                             sympy.matrices.sparsetools
import time:       236 |        236 |                                           sympy.strategies.util
import time:       391 |        627 |                                         sympy.strategies.rl
import time:       264 |        264 |                                           sympy.strategies.core
import time:       233 |        497 |                                         sympy.strategies.traverse
import time:       244 |        244 |                                         sympy.strategies.tools
import time:       228 |        228 |                                             sympy.strategies.branch.core
import time:       356 |        583 |                                           sympy.strategies.branch.traverse
import time:       217 |        217 |                                           sympy.strategies.branch.tools
import time:       279 |       1078 |                                         sympy.strategies.branch
import time:       340 |       2784 |                                       sympy.strategies
import time:       292 |        292 |                                       sympy.matrices.expressions._shape
import time:       764 |        764 |                                           sympy.matrices.expressions.special
import time:       367 |       1131 |                                         sympy.matrices.expressions.matpow
import time:       349 |       1480 |                                       sympy.matrices.expressions.inverse
import time:       421 |        421 |                                       sympy.matrices.expressions.transpose
import time:       473 |        473 |                                       sympy.matrices.expressions.permutation
import time:       537 |       5984 |                                     sympy.matrices.expressions.matmul
import time:       430 |        430 |                                     sympy.matrices.expressions.matadd
import time:       524 |        524 |                                     sympy.matrices.expressions.determinant
import time:      1462 |       8398 |                                   sympy.matrices.expressions.matexpr
import time:       533 |       8930 |                                 sympy.matrices.expressions.slice
import time:       597 |        597 |                                   sympy.matrices.expressions.trace
import time:       812 |       1408 |                                 sympy.matrices.expressions.blockmatrix
import time:       483 |        483 |                                 sympy.matrices.expressions.companion
import time:       380 |        380 |                                 sympy.matrices.expressions.funcmatrix
import time:       384 |        384 |                                 sympy.matrices.expressions.adjoint
import time:       659 |        659 |                                 sympy.matrices.expressions.hadamard
import time:       571 |        571 |                                 sympy.matrices.expressions.diagonal
import time:       340 |        340 |                                 sympy.matrices.expressions.dotproduct
import time:       517 |        517 |                                 sympy.matrices.expressions.kronecker
import time:       368 |        368 |                                 sympy.matrices.expressions.sets
import time:       431 |      14466 |                               sympy.matrices.expressions
import time:       971 |      15437 |                             sympy.matrices.immutable
import time:       388 |      31395 |                           sympy.matrices
import time:       348 |      31742 |                         sympy.polys.partfrac
import time:       408 |        408 |                         sympy.polys.fields
import time:       467 |     153684 |                       sympy.polys
import time:       523 |        523 |                         sympy.series.order
import time:       360 |        360 |                               sympy.calculus.euler
import time:       310 |        310 |                               sympy.calculus.singularities
import time:       275 |        275 |                               sympy.calculus.finite_diff
import time:       680 |        680 |                                 sympy.calculus.accumulationbounds
import time:       333 |       1012 |                               sympy.calculus.util
import time:       314 |       2269 |                             sympy.calculus
import time:        19 |       2287 |                           sympy.calculus.accumulationbounds
import time:       357 |        357 |                           sympy.series.gruntz
import time:       371 |       3014 |                         sympy.series.limits
import time:       228 |        228 |                         sympy.series.series
import time:       242 |        242 |                         sympy.series.approximants
import time:       237 |        237 |                         sympy.series.residues
import time:       944 |        944 |                         sympy.series.sequences
import time:       374 |        374 |                           sympy.series.series_class
import time:       501 |        875 |                         sympy.series.fourier
import time:       460 |        460 |                               sympy.discrete.transforms
import time:       295 |        295 |                               sympy.discrete.convolutions
import time:       303 |       1057 |                             sympy.discrete
import time:        38 |       1094 |                           sympy.discrete.convolutions
import time:      1018 |       2112 |                         sympy.series.formal
import time:       314 |        314 |                         sympy.series.limitseq
import time:       413 |       8898 |                       sympy.series
import time:       561 |        561 |                             sympy.concrete.expr_with_limits
import time:       389 |        950 |                           sympy.concrete.expr_with_intlimits
import time:       389 |        389 |                             sympy.concrete.gosper
import time:       406 |        406 |                                   sympy.integrals.rationaltools
import time:       364 |        364 |                                   sympy.integrals.deltafunctions
import time:       820 |        820 |                                   sympy.integrals.meijerint
import time:       317 |        317 |                                   sympy.integrals.trigonometry
import time:       839 |       2744 |                                 sympy.integrals.integrals
import time:       711 |        711 |                                         sympy.polys.domainmatrix
import time:       333 |       1044 |                                       sympy.polys.solvers
import time:       307 |       1351 |                                     sympy.polys.matrices.linsolve
import time:       744 |       2094 |                                   sympy.integrals.laplace
import time:      1717 |       3811 |                                 sympy.integrals.transforms
import time:       267 |        267 |                                 sympy.integrals.singularityfunctions
import time:       445 |       7266 |                               sympy.integrals
import time:        18 |       7284 |                             sympy.integrals.integrals
import time:       795 |       8467 |                           sympy.concrete.summations
import time:       510 |       9925 |                         sympy.concrete.products
import time:       290 |      10215 |                       sympy.concrete
import time:       390 |        390 |                             sympy.simplify.gammasimp
import time:       274 |        663 |                           sympy.simplify.combsimp
import time:       261 |        261 |                           sympy.simplify.cse_opts
import time:       334 |        334 |                             sympy.simplify.powsimp
import time:       800 |       1133 |                           sympy.simplify.hyperexpand
import time:       374 |        374 |                             sympy.simplify.sqrtdenest
import time:       360 |        734 |                           sympy.simplify.radsimp
import time:       365 |        365 |                             sympy.simplify.cse_main
import time:       241 |        241 |                             sympy.strategies.tree
import time:       397 |       1002 |                           sympy.simplify.trigsimp
import time:       643 |       4434 |                         sympy.simplify.simplify
import time:       494 |        494 |                         sympy.simplify.fu
import time:       305 |        305 |                         sympy.simplify.epathtools
import time:       271 |        271 |                         sympy.simplify.ratsimp
import time:       378 |       5880 |                       sympy.simplify
import time:       422 |        422 |                           sympy.solvers.polysys
import time:       338 |        338 |                           sympy.solvers.bivariate
import time:       770 |       1530 |                         sympy.solvers.solvers
import time:      1184 |       1184 |                               sympy.solvers.solveset
import time:      1333 |       2516 |                             sympy.solvers.diophantine.diophantine
import time:       400 |       2916 |                           sympy.solvers.diophantine
import time:        22 |       2938 |                         sympy.solvers.diophantine.diophantine
import time:       763 |        763 |                         sympy.solvers.recurr
import time:       340 |        340 |                             sympy.solvers.deutils
import time:       377 |        377 |                               sympy.solvers.ode.riccati
import time:       325 |        325 |                               sympy.solvers.ode.hypergeometric
import time:       304 |        304 |                                 sympy.solvers.ode.subscheck
import time:       332 |        636 |                               sympy.solvers.ode.nonhomogeneous
import time:       349 |        349 |                                 sympy.solvers.pde
import time:       398 |        747 |                               sympy.solvers.ode.lie_group
import time:       946 |       3029 |                             sympy.solvers.ode.single
import time:      1165 |       4532 |                           sympy.solvers.ode.ode
import time:       520 |        520 |                           sympy.solvers.ode.systems
import time:       399 |       5451 |                         sympy.solvers.ode
import time:       379 |        379 |                         sympy.solvers.inequalities
import time:       262 |        262 |                         sympy.solvers.decompogen
import time:       393 |        393 |                         sympy.solvers.simplex
import time:       437 |      12150 |                       sympy.solvers
import time:       249 |        249 |                           sympy.geometry.exceptions
import time:      4626 |       4626 |                             sympy.sets.handlers.intersection
import time:      2578 |       2578 |                             sympy.sets.handlers.union
import time:      1602 |       8804 |                           sympy.geometry.entity
import time:       817 |       9869 |                         sympy.geometry.point
import time:       382 |        382 |                           sympy.geometry.util
import time:      1602 |       1983 |                         sympy.geometry.line
import time:       444 |        444 |                         sympy.geometry.plane
import time:      1179 |       1179 |                           sympy.geometry.polygon
import time:       588 |       1767 |                         sympy.geometry.ellipse
import time:       458 |        458 |                         sympy.geometry.curve
import time:       355 |        355 |                         sympy.geometry.parabola
import time:       379 |      15252 |                       sympy.geometry
import time:       637 |        637 |                         sympy.parsing.sympy_parser
import time:       309 |        946 |                       sympy.parsing
import time:       625 |        625 |                         sympy.algebras.quaternion
import time:       290 |        915 |                       sympy.algebras
import time:       260 |        260 |                             sympy.plotting.backends
import time:       338 |        338 |                               sympy.plotting.utils
import time:       316 |        316 |                                   sympy.plotting.intervalmath.interval_membership
import time:       473 |        788 |                                 sympy.plotting.intervalmath.interval_arithmetic
import time:       325 |        325 |                                 sympy.plotting.intervalmath.lib_interval
import time:       343 |       1456 |                               sympy.plotting.intervalmath
import time:       890 |       2683 |                             sympy.plotting.series
import time:       443 |       3385 |                           sympy.plotting.backends.base_backend
import time:       452 |        452 |                             sympy.plotting.backends.matplotlibbackend.matplotlib
import time:       300 |        752 |                           sympy.plotting.backends.matplotlibbackend
import time:       372 |        372 |                               sympy.plotting.textplot
import time:       383 |        755 |                             sympy.plotting.backends.textbackend.text
import time:       276 |       1030 |                           sympy.plotting.backends.textbackend
import time:       314 |        314 |                           sympy.plotting.plotgrid
import time:       458 |       5936 |                         sympy.plotting.plot
import time:       355 |        355 |                         sympy.plotting.plot_implicit
import time:       341 |        341 |                         sympy.plotting.pygletplot
import time:       330 |       6961 |                       sympy.plotting
import time:       552 |        552 |                         sympy.interactive.printing
import time:       338 |        338 |                         sympy.interactive.session
import time:       253 |        253 |                         sympy.interactive.traversal
import time:       406 |       1549 |                       sympy.interactive
import time:      1479 |     282685 |                     sympy
import time:      2417 |     285101 |                   torch._guards
import time:       352 |        352 |                     torch.utils.weak
import time:       487 |        839 |                   torch._subclasses.meta_utils
import time:       264 |        264 |                   torch.utils._mode_utils
import time:       248 |        248 |                   torch.utils._stats
import time:      2785 |     289235 |                 torch._subclasses.fake_tensor
import time:       345 |        345 |                 torch._subclasses.fake_utils
import time:       500 |     290079 |               torch._subclasses
import time:        35 |     290113 |             torch._subclasses.fake_tensor
import time:     25668 |     334818 |           torch._prims
import time:       569 |        569 |             torch.fx.experimental
import time:      2298 |       2867 |           torch.fx.experimental.symbolic_shapes
import time:     11504 |     349188 |         torch._decomp.decompositions
import time:       783 |        783 |           torch._refs._conversions
import time:      2779 |       2779 |           torch._refs.fft
import time:       830 |        830 |           torch._refs.linalg
import time:       278 |        278 |             torch._refs.nn
import time:      3766 |       4044 |           torch._refs.nn.functional
import time:      2518 |       2518 |           torch._refs.special
import time:     30791 |      41744 |         torch._refs
import time:       501 |     391432 |       torch._decomp
import time:     29781 |     422560 |     torch._meta_registrations
import time:       662 |        662 |                 torch.fx.passes.shape_prop
import time:       357 |        357 |                 pydot
import time:       645 |       1663 |               torch.fx.passes.graph_drawer
import time:       488 |        488 |               torch.fx.passes.graph_manipulation
import time:       866 |        866 |                   torch.fx.passes.tools_common
import time:       818 |        818 |                       torch.fx.passes.utils.matcher_utils
import time:       453 |       1270 |                     torch.fx.passes.utils.common
import time:       304 |       1574 |                   torch.fx.passes.utils
import time:       753 |       3192 |                 torch.fx.passes.split_utils
import time:       693 |       3885 |               torch.fx.passes.net_min_base
import time:       534 |        534 |               torch.fx.passes.operator_support
import time:       338 |        338 |               torch.fx.passes.param_fetch
import time:       776 |        776 |               torch.fx.passes.reinplace
import time:       491 |        491 |               torch.fx.passes.split_module
import time:      1150 |       1150 |                   gettext
import time:      1052 |       2201 |                 argparse
import time:      1007 |       3208 |               torch.fx.passes.splitter_base
import time:       460 |      11840 |             torch.fx.passes
import time:        18 |      11858 |           torch.fx.passes.split_module
import time:       459 |      12316 |         torch.fx.experimental.const_fold
import time:       276 |        276 |             torch._dispatch
import time:       621 |        621 |                   unittest.util
import time:       669 |       1290 |                 unittest.result
import time:       964 |        964 |                 unittest.case
import time:       588 |        588 |                 unittest.suite
import time:       913 |        913 |                 unittest.loader
import time:       393 |        393 |                     unittest.signals
import time:       604 |        996 |                   unittest.runner
import time:       569 |       1564 |                 unittest.main
import time:       584 |       5901 |               unittest
import time:       460 |        460 |                     concurrent
import time:       772 |        772 |                     concurrent.futures._base
import time:       539 |       1770 |                   concurrent.futures
import time:       458 |        458 |                   asyncio.constants
import time:       394 |        394 |                       asyncio.format_helpers
import time:       371 |        765 |                     asyncio.base_futures
import time:       356 |        356 |                     asyncio.log
import time:       439 |       1560 |                   asyncio.coroutines
import time:       422 |        422 |                       asyncio.exceptions
import time:       375 |        375 |                       asyncio.base_tasks
import time:       723 |       1518 |                     _asyncio
import time:       537 |       2055 |                   asyncio.events
import time:       444 |        444 |                   asyncio.futures
import time:       487 |        487 |                   asyncio.protocols
import time:       431 |        431 |                     asyncio.transports
import time:       564 |        995 |                   asyncio.sslproto
import time:       372 |        372 |                       asyncio.mixins
import time:       622 |        622 |                       asyncio.tasks
import time:       487 |       1480 |                     asyncio.locks
import time:       527 |       2007 |                   asyncio.staggered
import time:       623 |        623 |                   asyncio.trsock
import time:      1086 |      11479 |                 asyncio.base_events
import time:       599 |        599 |                 asyncio.runners
import time:       600 |        600 |                 asyncio.queues
import time:      1563 |       1563 |                 asyncio.streams
import time:       623 |        623 |                 asyncio.subprocess
import time:       409 |        409 |                 asyncio.threads
import time:      1902 |       1902 |                   _overlapped
import time:      1358 |       1358 |                   asyncio.base_subprocess
import time:      1345 |       1345 |                   asyncio.proactor_events
import time:       560 |        560 |                   asyncio.selector_events
import time:       394 |        394 |                   asyncio.windows_utils
import time:       798 |       6355 |                 asyncio.windows_events
import time:       631 |      22255 |               asyncio
import time:      1202 |      29357 |             unittest.mock
import time:       474 |      30107 |           torch._dispatch.python
import time:      1678 |      31784 |         torch.fx.experimental.proxy_tensor
import time:      1137 |      45237 |       torch._functorch.eager_transforms
import time:       531 |        531 |       torch._functorch.functional_call
import time:       346 |        346 |       torch._functorch.batch_norm_replacement
import time:       632 |      46744 |     torch.func
import time:    280701 |    1235657 |   torch
import time:       599 |        599 |         PIL._version
import time:       797 |       1396 |       PIL
import time:      4956 |       4956 |         PIL.ExifTags
import time:       719 |        719 |         PIL.ImageMode
import time:       655 |        655 |         PIL.TiffTags
import time:       257 |        257 |         PIL._binary
import time:       298 |        298 |         PIL._deprecate
import time:       264 |        264 |         PIL._util
import time:       306 |        306 |         defusedxml
import time:      1162 |       1162 |         PIL._imaging
import time:      1929 |      10543 |       PIL.Image
import time:       618 |        618 |             PIL.ImageColor
import time:       400 |        400 |                   PIL._typing
import time:      1286 |       1286 |                   PIL._imagingft
import time:       670 |       2355 |                 PIL.ImageFont
import time:       305 |       2659 |               PIL.ImageText
import time:       425 |       3084 |             PIL.ImageDraw
import time:     12273 |      15973 |           torchvision.utils
import time:      8171 |       8171 |               torchvision._internally_replaced_utils
import time:     37506 |      45677 |             torchvision.extension
import time:      7365 |      53042 |           torchvision.io._load_gpu_decoder
import time:      8344 |       8344 |           torchvision.io._video_opt
import time:     72753 |      72753 |           torchvision.io.image
import time:      1181 |       1181 |             av
import time:      8501 |       9682 |           torchvision.io.video
import time:       950 |        950 |             av
import time:      9553 |      10502 |           torchvision.io.video_reader
import time:     18996 |     189289 |         torchvision.io
import time:        41 |     189330 |       torchvision.io.image
import time:       968 |        968 |             urllib3.exceptions
import time:       601 |        601 |                     urllib3.util.timeout
import time:      1160 |       1761 |                   urllib3.util.connection
import time:       338 |        338 |                     urllib3.util.util
import time:       327 |        327 |                     brotlicffi
import time:       237 |        237 |                     brotli
import time:      1385 |       1385 |                       pkgutil
import time:      1093 |       2478 |                     backports
import time:       174 |        174 |                     backports.zstd
import time:       880 |       4432 |                   urllib3.util.request
import time:       562 |        562 |                   urllib3.util.response
import time:       752 |        752 |                   urllib3.util.retry
import time:      6112 |       6112 |                     urllib3.util.url
import time:       389 |        389 |                     urllib3.util.ssltransport
import time:       563 |       7063 |                   urllib3.util.ssl_
import time:       254 |        254 |                   urllib3.util.wait
import time:       429 |      15250 |                 urllib3.util
import time:        23 |      15272 |               urllib3.util.connection
import time:       653 |      15925 |             urllib3._base_connection
import time:       598 |        598 |             urllib3._collections
import time:       261 |        261 |             urllib3._version
import time:       657 |        657 |                     mimetypes
import time:     25416 |      26072 |                   urllib3.fields
import time:       375 |      26446 |                 urllib3.filepost
import time:       266 |        266 |                   brotlicffi
import time:       240 |        240 |                   brotli
import time:       299 |        299 |                     urllib3.http2
import time:       488 |        488 |                     urllib3.http2.probe
import time:      1233 |       1233 |                       ipaddress
import time:       299 |       1532 |                     urllib3.util.ssl_match_hostname
import time:       705 |       3021 |                   urllib3.connection
import time:        83 |         83 |                   backports.zstd
import time:       616 |       4224 |                 urllib3.response
import time:       367 |      31036 |               urllib3._request_methods
import time:       256 |        256 |               urllib3.util.proxy
import time:       576 |      31867 |             urllib3.connectionpool
import time:       833 |        833 |             urllib3.poolmanager
import time:       869 |      51319 |           urllib3
import time:      1010 |       1010 |                   charset_normalizer.constant
import time:      1047 |       1047 |                     charset_normalizer.md__mypyc
import time:       154 |        154 |                       _multibytecodec
import time:       761 |        915 |                     charset_normalizer.utils
import time:      1363 |       3324 |                   charset_normalizer.md
import time:      1386 |       1386 |                   charset_normalizer.models
import time:       480 |       6198 |                 charset_normalizer.cd
import time:       567 |       6765 |               charset_normalizer.api
import time:       918 |        918 |               charset_normalizer.legacy
import time:       739 |        739 |               charset_normalizer.version
import time:       774 |        774 |               simplejson
import time:      2465 |       2465 |               http.cookiejar
import time:      1218 |       1218 |               http.cookies
import time:      1222 |      14098 |             requests.compat
import time:       631 |      14729 |           requests.exceptions
import time:       281 |        281 |           chardet
